date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:29	8182/8182	---M-Z	200	added ('OK')	application/javascript	etag:%221ff6-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/wow.min.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/wow.min.js	(from https://www.websitedesign.co.za/)
10:38:30	28317/28317	---M-Z	200	added ('OK')	application/javascript	etag:%226e9d-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/masonry.pkgd.min.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/masonry.pkgd.min.js	(from https://www.websitedesign.co.za/)
10:38:30	3542/3542	---M-Z	200	added ('OK')	application/javascript	etag:%22dd6-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/jquery.simple-text-rotator.min.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/jquery.simple-text-rotator.min.js	(from https://www.websitedesign.co.za/)
10:38:30	36000/36000	---M-Z	200	added ('OK')	application/javascript	etag:%228ca0-5ec8d93c10e40-gzip%22	https://www.websitedesign.co.za/js/all.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/all.js	(from https://www.websitedesign.co.za/)
10:38:31	3087/3087	---M-Z	200	added ('OK')	application/javascript	etag:%22c0f-5ec8d93d05080-gzip%22	https://www.websitedesign.co.za/js/jquery.ajaxchimp.min.js	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/js/jquery.ajaxchimp.min.js	(from https://www.websitedesign.co.za/)
10:38:31	21986/21986	---M-Z	200	added ('OK')	text/css	etag:%2255e2-5ec8d914f7200-gzip%22	https://www.websitedesign.co.za/css/font-awesome.min.css	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/css/font-awesome.min.css	(from https://www.websitedesign.co.za/css/style.css)
10:38:31	7119/7119	---M-Z	200	added ('OK')	text/css	etag:%221bcf-5ec8d914f7200-gzip%22	https://www.websitedesign.co.za/css/et-line.css	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/css/et-line.css	(from https://www.websitedesign.co.za/css/style.css)
10:38:32	1665/1665	---M--	200	added ('OK')	image/gif	etag:%22681-5ec8d917d38c0%22	https://www.websitedesign.co.za/images/loader.gif	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/loader.gif	(from https://www.websitedesign.co.za/css/style.css)
10:38:32	14952/14952	---M--	200	added ('OK')	image/png	etag:%223a68-5ec8d917d38c0%22	https://www.websitedesign.co.za/images/pattern-bg-2.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/pattern-bg-2.png	(from https://www.websitedesign.co.za/css/style.css)
10:38:33	266/266	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Nov%202022%2010:38:36%20GMT	https://www.websitedesign.co.za/img/device-mockups/macbook.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/img/device-mockups/macbook.png	(from https://www.websitedesign.co.za/css/style.css)
10:38:33	266/266	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Nov%202022%2010:38:37%20GMT	https://www.websitedesign.co.za/img/device-mockups/iphone5_port_black.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/img/device-mockups/iphone5_port_black.png	(from https://www.websitedesign.co.za/css/style.css)
10:38:34	266/266	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Nov%202022%2010:38:37%20GMT	https://www.websitedesign.co.za/img/device-mockups/iphone5_land_black.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/img/device-mockups/iphone5_land_black.png	(from https://www.websitedesign.co.za/css/style.css)
10:38:34	266/266	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Nov%202022%2010:38:38%20GMT	https://www.websitedesign.co.za/img/device-mockups/iphone5_port_white.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/img/device-mockups/iphone5_port_white.png	(from https://www.websitedesign.co.za/css/style.css)
10:38:34	559883/559883	---M--	200	added ('OK')	image/png	etag:%2288b0b-5ec8d916df680%22	https://www.websitedesign.co.za/images/imac.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/imac.png	(from https://www.websitedesign.co.za/css/style.css)
10:38:34	266/266	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Nov%202022%2010:38:38%20GMT	https://www.websitedesign.co.za/img/device-mockups/iphone5_land_white.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/img/device-mockups/iphone5_land_white.png	(from https://www.websitedesign.co.za/css/style.css)
10:38:35	266/266	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Nov%202022%2010:38:39%20GMT	https://www.websitedesign.co.za/img/device-mockups/ipad_port_black.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/img/device-mockups/ipad_port_black.png	(from https://www.websitedesign.co.za/css/style.css)
10:38:35	266/266	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Nov%202022%2010:38:39%20GMT	https://www.websitedesign.co.za/img/device-mockups/ipad_port_white.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/img/device-mockups/ipad_port_white.png	(from https://www.websitedesign.co.za/css/style.css)
